,Flux
2_KETOGLUTARATE_xc_Open,0.03310681863433176
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Close,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Day,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Night,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Open,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Close,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Day,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Night,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Open,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Close,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Day,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Night,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Open,0.0
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Day,-0.3600000000000001
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Open,-0.016658714913020067
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Day,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Open,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Day,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Open,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Day,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Open,0.0
3PGAREARR_RXN_c_Close,0.0
3PGAREARR_RXN_c_Day,0.0
3PGAREARR_RXN_c_Night,1.8905937125598122
3PGAREARR_RXN_c_Open,0.37499999999999983
3PGAREARR_RXN_p_Close,0.35215787731021553
3PGAREARR_RXN_p_Day,-0.375
3PGAREARR_RXN_p_Night,0.0
3PGAREARR_RXN_p_Open,0.0
3PGA_Pi_pc_Close,0.0
3PGA_Pi_pc_Day,0.0
3PGA_Pi_pc_Night,0.0
3PGA_Pi_pc_Open,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Close,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Day,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Night,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Open,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Close,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Day,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Night,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Open,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Close,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Day,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Night,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Open,0.0
3_ISOPROPYLMALISOM_RXN_p_Close,0.0
3_ISOPROPYLMALISOM_RXN_p_Day,0.0
3_ISOPROPYLMALISOM_RXN_p_Night,0.0
3_ISOPROPYLMALISOM_RXN_p_Open,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Open,0.0
4_AMINO_BUTYRATE_PROTON_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_vc_Open,0.0
4_AMINO_BUTYRATE_mc_Close,0.0
4_AMINO_BUTYRATE_mc_Day,0.0
4_AMINO_BUTYRATE_mc_Night,0.0
4_AMINO_BUTYRATE_mc_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Night,0.0
